ID,SCOP (Jun 23 to Aug 23),SCOP (Sep 23 to Nov 23),SCOP (Dec 23 to Feb 24),SCOP (Mar 24 to May 24),SCOP (Jun 23 to Jun 24)
1,2.994267853248735,3.10379263097679,2.874272969905554,3.145872905742788,3.024253374824628
2,4.324120912130274,3.9124855902160816,3.5419760680291965,3.7455202837500305,3.8181351466256412
3,Data not available,2.366676285687248,2.2136295348829673,2.3836920668910455,2.2957506218355146
4,4.330083067775637,4.163982587013448,3.713140807500435,3.8862542909313107,4.000051512515804
7,Data not available,2.012056675558665,2.212083315803973,2.4220550331183364,2.2375951937180134
8,3.6577523933446052,3.49919009110704,3.337437285625521,3.540213608905896,3.4841671304620436
9,Data not available,Data not available,3.3893148674765583,3.561565404055848,3.4814152435299537
11,Data not available,3.5375337843115813,3.295173916552336,3.314605813047481,3.324023060200978
12,Data not available,Data not available,2.0459667832761608,1.660332201360372,1.9219095063863247
17,Data not available,Data not available,Data not available,2.772792051184947,2.772792051184947
36,Data not available,Data not available,3.8693173846355067,3.6879447753764696,3.713539106153689
44,Data not available,Data not available,2.6494877226903952,2.347859346497533,2.493171431060841
45,Data not available,2.271382678742662,2.558522545953058,2.544490316901828,2.5360284796142154
46,4.352876796095095,4.367674389197143,3.9251844231715283,4.442383263626062,4.230983626944
55,Data not available,Data not available,1.969917925957237,2.803414514355267,2.6937187944758394
56,Data not available,2.6483505602431356,2.745380739520964,3.035001041082603,2.848203096638084
71,Data not available,Data not available,2.464463006625592,2.420377413499704,2.4407500539066542
74,Data not available,Data not available,Data not available,3.3626900828558735,3.3626900828558735
76,Data not available,2.6933461515502812,2.633413266655858,2.8977733795150917,2.756554326781712
80,Data not available,2.597626200641012,2.6179292910681515,2.6807958623441794,2.6428184860678354
82,Data not available,1.77026217756211,1.8428947700275993,1.8609302779200065,1.83407693338611
86,Data not available,Data not available,3.499172921891257,3.634836696445596,3.5739638249863392
99,Data not available,Data not available,2.310019682755885,2.5279847139715574,2.4071162833067077
111,Data not available,Data not available,2.7645216029238986,2.2128925359740235,2.4687964205368127
113,Data not available,Data not available,3.0808047884319065,3.31694326183654,3.19997916344855
114,Data not available,Data not available,3.309388402277355,3.7121599264154255,3.545247142745757
115,Data not available,Data not available,3.0474319549530184,3.426396312589019,3.2172856761468025
116,Data not available,6.67311411992263,3.459008919183495,3.692875744666688,3.5812928332592677
117,Data not available,Data not available,3.1305186211292026,3.351759784310399,3.2477680248851173
120,Data not available,Data not available,2.22230505265649,2.6421662971715354,2.387335475129153
126,Data not available,Data not available,2.780451484630048,2.9072488054212675,2.856228027695953
127,Data not available,Data not available,2.0364705311911027,2.6959314565789856,2.367503966747251
140,Data not available,1.9171601546825876,2.706766490782714,2.9370326387509236,2.792698390408078
147,Data not available,Data not available,Data not available,3.4355842445308653,3.4355842445308653
148,Data not available,Data not available,1.512865190795614,1.9831061231432965,1.8335709364528499
159,Data not available,Data not available,2.2807818462408767,2.8561187121121767,2.7225756627273414
162,Data not available,Data not available,3.098735512434096,2.861828559670091,2.9195465068877704
163,Data not available,Data not available,2.4962404914849277,2.822025191252043,2.763659630020908
169,Data not available,Data not available,Data not available,0.06192556136573362,0.06192556136573362
193,Data not available,Data not available,Data not available,2.199562018981813,2.199562018981813
204,Data not available,Data not available,Data not available,4.179148949989676,4.179148949989676
211,Data not available,Data not available,Data not available,2.902357014086819,2.902357014086819
212,Data not available,Data not available,Data not available,3.1371364807180053,3.1371364807180053
222,Data not available,Data not available,Data not available,3.3113529753828255,3.3113529753828255
224,Data not available,Data not available,Data not available,3.2498811638437872,3.2498811638437872
240,Data not available,Data not available,Data not available,2.226389017573119,2.226389017573119
250,Data not available,Data not available,Data not available,2.509752130006925,2.509752130006925
252,Data not available,Data not available,Data not available,4.187906768331204,4.187906768331204
